역사_ID,역사명,호선,위도,경도,unique_name
9996,미사,5호선,37.560927,127.193877,미사_5호선
9995,강일,5호선,37.55749,127.17593,강일_5호선
4929,김포공항,김포골드라인,37.56236,126.801868,김포공항_김포골드라인
4928,고촌,김포골드라인,37.601243,126.770345,고촌_김포골드라인
4927,풍무,김포골드라인,37.612488,126.732387,풍무_김포골드라인
4926,사우,김포골드라인,37.620249,126.719731,사우_김포골드라인
4925,걸포북변,김포골드라인,37.63165,126.705975,걸포북변_김포골드라인
4924,운양,김포골드라인,37.653867,126.68393,운양_김포골드라인
4923,장기,김포골드라인,37.643986,126.669017,장기_김포골드라인
4922,마산,김포골드라인,37.640732,126.644344,마산_김포골드라인
4921,구래,김포골드라인,37.645384,126.628633,구래_김포골드라인
4920,양촌,김포골드라인,37.642379,126.614309,양촌_김포골드라인
4815,원시,서해선,37.302371,126.786691,원시_서해선
4814,시우,서해선,37.31321,126.796261,시우_서해선
4813,초지,서해선,37.319619,126.808147,초지_서해선
4812,선부,서해선,37.334353,126.809904,선부_서해선
4811,달미,서해선,37.348847,126.809409,달미_서해선
4810,시흥능곡,서해선,37.369864,126.808573,시흥능곡_서해선
4809,시흥시청,서해선,37.382223,126.805625,시흥시청_서해선
4808,신현,서해선,37.409008,126.788017,신현_서해선
4807,신천,서해선,37.439066,126.786788,신천_서해선
4806,시흥대야,서해선,37.450145,126.793041,시흥대야_서해선
4805,소새울,서해선,37.468467,126.797252,소새울_서해선
4804,소사,서해선,37.483279,126.795023,소사_서해선
4713,신설동,우이신설선,37.576095,127.023242,신설동_우이신설선
4712,보문,우이신설선,37.585286,127.019381,보문_우이신설선
4711,성신여대입구,우이신설선,37.592467,127.016516,성신여대입구_우이신설선
4710,정릉,우이신설선,37.603133,127.013396,정릉_우이신설선
4709,북한산보국문,우이신설선,37.612072,127.008251,북한산보국문_우이신설선
4708,솔샘,우이신설선,37.620238,127.013626,솔샘_우이신설선
4707,삼양사거리,우이신설선,37.621337,127.020473,삼양사거리_우이신설선
4706,삼양,우이신설선,37.626914,127.018106,삼양_우이신설선
4705,화계,우이신설선,37.634133,127.017511,화계_우이신설선
4704,가오리,우이신설선,37.641537,127.016789,가오리_우이신설선
4703,4.19민주묘지,우이신설선,37.649502,127.013684,4.19민주묘지_우이신설선
4702,솔밭공원,우이신설선,37.65603,127.013273,솔밭공원_우이신설선
4701,북한산우이,우이신설선,37.662909,127.012706,북한산우이_우이신설선
4615,탑석,의정부선,37.733579,127.088704,탑석_의정부선
4614,송산,의정부선,37.737279,127.087159,송산_의정부선
4613,어룡,의정부선,37.742802,127.085035,어룡_의정부선
4612,곤제,의정부선,37.750471,127.083715,곤제_의정부선
4611,효자,의정부선,37.754025,127.076902,효자_의정부선
4610,경기도청북부청사,의정부선,37.75059,127.071495,경기도청북부청사_의정부선
4609,새말,의정부선,37.748885,127.06362,새말_의정부선
4608,동오,의정부선,37.745271,127.056947,동오_의정부선
4607,의정부중앙,의정부선,37.743676,127.049565,의정부중앙_의정부선
4606,흥선,의정부선,37.743302,127.037023,흥선_의정부선
4605,의정부시청,의정부선,37.739256,127.034781,의정부시청_의정부선
4604,경전철의정부,의정부선,37.737202,127.043257,경전철의정부_의정부선
