순번,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
5호선,하남검단산_5호선,하남시청_5호선,하남풍산_5호선,미사_5호선,강일_5호선,상일동_5호선,고덕_5호선,명일_5호선,굽은다리_5호선,길동_5호선,강동|둔촌동방향_5호선,둔촌동_5호선,올림픽공원_5호선,방이_5호선,오금_5호선,개롱_5호선,거여_5호선,마천_5호선,강동|천호방향_5호선,천호_5호선,광나루_5호선,아차산_5호선,군자_5호선,장한평_5호선,답십리_5호선,마장_5호선,왕십리_5호선,행당_5호선,신금호_5호선,청구_5호선,동대문역사문화공원_5호선,을지로4가_5호선,종로3가_5호선,광화문_5호선,서대문_5호선,충정로_5호선,애오개_5호선,공덕_5호선,마포_5호선,여의나루_5호선,여의도_5호선,신길_5호선,영등포시장_5호선,영등포구청_5호선,양평_5호선,오목교_5호선,목동_5호선,신정_5호선,까치산_5호선,화곡_5호선,우장산_5호선,발산_5호선,마곡_5호선,송정_5호선,김포공항_5호선,개화산_5호선,방화_5호선
김포골드라인,김포공항_김포골드라인,고촌_김포골드라인,풍무_김포골드라인,사우_김포골드라인,걸포북변_김포골드라인,운양_김포골드라인,장기_김포골드라인,마산_김포골드라인,구래_김포골드라인,양촌_김포골드라인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서해선,원시_서해선,시우_서해선,초지_서해선,선부_서해선,달미_서해선,시흥능곡_서해선,시흥시청_서해선,신현_서해선,신천_서해선,시흥대야_서해선,소새울_서해선,소사_서해선,부천종합운동장_서해선,원종_서해선,김포공항_서해선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우이신설선,신설동_우이신설선,보문_우이신설선,성신여대입구_우이신설선,정릉_우이신설선,북한산보국문_우이신설선,솔샘_우이신설선,삼양사거리_우이신설선,삼양_우이신설선,화계_우이신설선,가오리_우이신설선,4.19민주묘지_우이신설선,솔밭공원_우이신설선,북한산우이_우이신설선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의정부선,탑석_의정부선,송산_의정부선,어룡_의정부선,곤제_의정부선,효자_의정부선,경기도청북부청사_의정부선,새말_의정부선,동오_의정부선,의정부중앙_의정부선,흥선_의정부선,의정부시청_의정부선,경전철의정부_의정부선,범골_의정부선,회룡_의정부선,발곡_의정부선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에버라인선,전대.에버랜드_에버라인선,둔전_에버라인선,보평_에버라인선,고진_에버라인선,운동장.송담대_에버라인선,김량장_에버라인선,명지대_에버라인선,시청.용인대_에버라인선,삼가_에버라인선,초당_에버라인선,동백_에버라인선,어정_에버라인선,지석_에버라인선,강남대_에버라인선,기흥_에버라인선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신림선,관악산_신림선,서울대벤처타운_신림선,서원_신림선,신림_신림선,당곡_신림선,보라매병원_신림선,보라매공원_신림선,보라매_신림선,서울지방병무청_신림선,대방_신림선,샛강_신림선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신분당선,광교_신분당선,광교중앙_신분당선,상현_신분당선,성복_신분당선,수지구청_신분당선,동천_신분당선,미금_신분당선,정자_신분당선,판교_신분당선,청계산입구_신분당선,양재시민의숲_신분당선,양재_신분당선,강남_신분당선,신논현_신분당선,논현_신분당선,신사_신분당선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공항철도1호선,인천공항2터미널_공항철도1호선,인천공항1터미널_공항철도1호선,공항화물청사_공항철도1호선,운서_공항철도1호선,영종_공항철도1호선,청라국제도시_공항철도1호선,검암_공항철도1호선,계양_공항철도1호선,김포공항_공항철도1호선,마곡나루_공항철도1호선,디지털미디어시티_공항철도1호선,홍대입구_공항철도1호선,공덕_공항철도1호선,서울역_공항철도1호선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9호선,중앙보훈병원_9호선,둔촌오륜_9호선,올림픽공원_9호선,한성백제_9호선,송파나루_9호선,석촌_9호선,석촌고분_9호선,삼전_9호선,종합운동장_9호선,봉은사_9호선,삼성중앙_9호선,선정릉_9호선,언주_9호선,신논현_9호선,사평_9호선,고속터미널_9호선,신반포_9호선,구반포_9호선,동작_9호선,흑석_9호선,노들_9호선,노량진_9호선,샛강_9호선,여의도_9호선,국회의사당_9호선,당산_9호선,선유도_9호선,신목동_9호선,염창_9호선,등촌_9호선,증미_9호선,가양_9호선,양천향교_9호선,마곡나루_9호선,신방화_9호선,공항시장_9호선,김포공항_9호선,개화_9호선,,,,,,,,,,,,,,,,,,,
